Artist,Song,Track ID,Album,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Morgan Wallen,Talkin' Tennessee,1mUTpDe3E8pML637zOFL5D,If I Know Me,2018-04-27,70,0.702,0.71,-6.653,0.0247,0.56,0.0,0.103,0.508,99.987
Morgan Wallen,Love Somebody,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,2024-10-18,0,0.619,0.843,-5.348,0.0284,0.00948,0.000118,0.164,0.746,122.064
Coldplay,Clocks,0BCPKOYdS2jbQ8iyB56Zns,A Rush of Blood to the Head,2002-08-27,82,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97
Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,Dangerous: The Double Album,2021-01-08,74,0.403,0.537,-6.628,0.031,0.59,0.0,0.112,0.414,69.877
Zach Bryan,Pink Skies,4ZJ4vzLQekI0WntDbanNC7,Pink Skies,2024-05-24,86,0.525,0.488,-6.909,0.038,0.191,5.14e-05,0.135,0.253,84.999
Royel Otis,Linger - SiriusXM Session,2dono2Koz7DEvGwxUsmMLq,Linger / Heading For The Door (Sirius XM Session),2024-05-31,79,0.404,0.393,-6.607,0.0262,0.806,0.000443,0.0938,0.403,98.217
Mumford & Sons,I Will Wait,1fXiYSWmkKJfRKMegCkI11,Babel (Deluxe Version),2012-09-25,64,0.478,0.758,-5.4,0.0331,0.00974,0.00717,0.312,0.452,131.109
Morgan Wallen,Somebody’s Problem,42lqBjPYlmL1EXpMDXvhSN,Dangerous: The Double Album,2021-01-08,70,0.658,0.538,-7.676,0.0289,0.657,0.0,0.123,0.62,136.967
Eminem,Rap God,6or1bKJiZ06IlK0vFvY75k,The Marshall Mathers LP2 (Deluxe),2013-11-05,74,0.709,0.843,-2.66,0.314,0.395,0.0,0.799,0.625,148.134
Dave Matthews Band,What Would You Say,58kdQwsAi2zHEiU2l0CBB8,Under The Table And Dreaming,1994-09-27,44,0.642,0.921,-5.631,0.0494,0.125,0.000618,0.0836,0.655,119.486
Genesis,More Fool Me - 2007 Stereo Mix,4EoKbid1MFccC0VCtO5ehz,Selling England by the Pound (2007 Stereo Mix),1973-10-12,41,0.44,0.127,-12.495,0.0332,0.858,0.0,0.11,0.229,136.803
David Allan Coe,The Ride,4wt2PBgqXZbvRiWSHDc4O4,Castles in the Sand,1983-04-01,60,0.668,0.429,-12.365,0.0464,0.241,0.0,0.129,0.531,83.504
Johnny Cash,God's Gonna Cut You Down,6jXPZid0KLorvgIDP6TiSo,American V: A Hundred Highways,2006-01-01,66,0.618,0.484,-8.229,0.127,0.875,4.31e-05,0.115,0.834,82.317
Waylon Jennings,I'm a Ramblin' Man,24uwABPWPejBuvFL4tMkvD,The Ramblin' Man,1974-09-01,63,0.724,0.735,-8.262,0.0286,0.147,0.00131,0.0899,0.839,109.281
Zach Bryan,Motorcycle Drive By,2HbpYFQbairMoU2YFyOP2x,Summertime Blues,2022-07-15,78,0.655,0.682,-4.562,0.0464,0.0392,0.0,0.67,0.525,124.306
Grateful Dead,Friend of the Devil,5ZLzl6T8JwqMTMdoE0nCbU,American Beauty,1970-06-01,60,0.642,0.628,-12.849,0.0358,0.334,8.29e-06,0.614,0.893,103.317
Grateful Dead,Fire on the Mountain - 2013 Remaster,4DpBfWl3q8e0gGB76lAaox,Shakedown Street,1978,55,0.788,0.461,-11.704,0.0556,0.528,2.69e-05,0.0886,0.906,76.669
Ennio Morricone,The Ecstasy Of Gold - 2004 Remaster,6PrKZUXJPmBiobMN44yR8Y,"The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]",1967,59,0.134,0.474,-13.864,0.0518,0.826,0.58,0.195,0.133,98.854
Annihilator,Crystal Ann,6HdieikOXlB5C75iebDKqp,Alice In Hell,1989,45,0.564,0.7,-11.625,0.0365,0.696,0.906,0.0874,0.846,159.33
Dave Matthews Band,Ants Marching,3HL9dtbUo5mJwXQyaEUESR,Under The Table And Dreaming,1994-09-27,53,0.653,0.825,-5.243,0.0335,0.0277,8.84e-05,0.053,0.846,113.249
Afroman,Because I Got High,0rRboI6IRuGx56Dq3UdYY4,The Good Times,2001-08-28,64,0.802,0.341,-8.56,0.488,0.169,0.0,0.0783,0.849,166.01
Afroman,Crazy Rap (Colt 45 & 2 Zig Zags),1ACZpHI5vZ5Ea4xGlkdGWM,The Good Times,2001-08-28,68,0.927,0.367,-7.797,0.382,0.325,0.0,0.132,0.576,99.053
Daler Mehndi,Tunak Tunak Tun,131yybV7A3TmC34a0qE8u8,Tunak Tunak Tun,1998-02-28,56,0.794,0.977,-5.637,0.178,0.526,0.00196,0.0616,0.687,150.008
Megadeth,Reckoning Day - Remastered 2004,1Bw7kDeY4ZPfUo5UY18tOO,Youthanasia (Expanded Edition - Remastered),1994-10-28,45,0.567,0.94,-5.364,0.0716,3.82e-05,0.0888,0.15,0.431,120.321
